,feature,weight
1063,movtne,0.0005792987020270646
1553,stmdbcc,0.0005776092016183256
2042,uxtbge,0.0005774422073456138
2589,vneg.f32,0.0005742833474311996
816,ldrmi,0.0005729054533269628
2746,vshr.s8,0.0005717770846219042
1852,subw,0.0005715090658554835
281,bkpt,0.0005705533692962629
1634,str.w.eq,0.0005701955188394019
2770,vst1.32,0.0005698362769459211
2819,vstrne.64,0.0005692486504049177
1070,movw.eq,0.0005684986338804167
1002,mov.ge.w,0.0005660908943930071
535,ldc,0.000566035824391071
1083,movwge,0.0005650051593393373
2672,vqrshrn.u8,0.0005611232078203455
485,eorcc,0.0005605320159897263
1133,mulls,0.000556778930640248
1087,movwls,0.0005547370268841064
2265,vcvt.u32.f64,0.0005541480920978637
1071,movw.ge,0.0005539826086100324
1008,mov.le.w,0.000553233241170279
2045,uxtble,0.0005517858119213284
2517,vmovn.i16,0.0005499924205164114
1569,stmia.cs,0.0005496055565264559
1722,strdls,0.0005465038573208279
